"Census.Tract","Tax.Period","totalOwedByTract"
80,2008,919.43
80,2009,823.07
80,2010,992.96
80,2011,1047.12
80,2012,1992.01
80,2013,1706.89
80,2014,6965.92
80,2015,16874.96
81,2000,3702.97
81,2001,4422.74
81,2002,4629.23
81,2003,5000.27
81,2004,7744.21
81,2005,9557.71
81,2006,8305.02
81,2007,9723.47
81,2008,10954.73
81,2009,9761.09
81,2010,12968.77
81,2011,17119.57
81,2012,17400.41
81,2013,21243.53
81,2014,34359.21
81,2015,59605.57
82,2000,4983.05
82,2001,5968.53
82,2002,7998.63
82,2003,7839.02
82,2004,8641.43
82,2005,7798.74
82,2006,8594.65
82,2007,9101.48
82,2008,9523.1
82,2009,9657.48
82,2010,8345.15
82,2011,9282.43
82,2012,14213.76
82,2013,16819.25
82,2014,25520.09
82,2015,29805.47
83,2000,4478.68
83,2001,4366.25
83,2002,6474.1
83,2003,6197.72
83,2004,7241.52
83,2005,7572.23
83,2006,8567.84
83,2007,12207.87
83,2008,12088.34
83,2009,11941.78
83,2010,11421.67
83,2011,10790.24
83,2012,13343.88
83,2013,13937.03
83,2014,28215.21
83,2015,56481.06
84,2000,4939.63
84,2001,6823.31
84,2002,8745.82
84,2003,8194.31
84,2004,7618.31
84,2005,7701.42
84,2006,8434.29
84,2007,8822.72
84,2008,9322.75
84,2009,8678.48
84,2010,9358.27
84,2011,8951.99
84,2012,8965.26
84,2013,7791.46
84,2014,11618.65
84,2015,17811.34
85,2000,4341.93
85,2001,8819.16
85,2002,6266.93
85,2003,7682.25
85,2004,7367.56
85,2005,8648.92
85,2006,9248.54
85,2007,7469.47
85,2008,9874.03
85,2009,9710.86
85,2010,10430.34
85,2011,10974.28
85,2012,13991.61
85,2013,16129.25
85,2014,44904.87
85,2015,73051.02
86,2006,365.76
86,2007,3557.03
86,2008,3307.98
86,2009,4985.54
86,2010,2976.08
86,2011,1886.5
86,2012,5025.39
86,2013,4811.97
86,2014,7181.08
86,2015,9356.38
87,2005,459.37
87,2006,84.46
87,2007,81.57
87,2008,84.4
87,2009,272.19
87,2010,258.84
87,2011,577.37
87,2012,556.81
87,2013,503.94
87,2014,1935.01
87,2015,5753.39
88,2013,175.67
88,2014,7632.66
88,2015,2063.63
90,2000,472.59
90,2001,456.45
90,2002,440.29
90,2003,424.15
90,2004,408
90,2006,375.7
90,2007,695.57
90,2008,663.27
90,2009,916.42
90,2010,4721.56
90,2011,4747.52
90,2012,4638.12
90,2013,4502.15
90,2014,7712.59
90,2015,6798.8
91,2000,5208.5
91,2001,5651.03
91,2002,3891.86
91,2003,3744.64
91,2004,3597.36
91,2005,3450.11
91,2006,2871.23
91,2007,4243.77
91,2008,5537.21
91,2009,6070.88
91,2010,5756.59
91,2011,4384.27
91,2012,5895.23
91,2013,5725.64
91,2014,8649.26
91,2015,6818.81
92,2001,1647.25
92,2002,665.33
92,2003,1041.08
92,2004,1099.97
92,2005,1054.77
92,2006,1009.55
92,2007,964.33
92,2008,919.11
92,2009,873.9
92,2010,920.12
92,2011,976.74
92,2012,926.66
92,2013,916.62
92,2014,6197.84
92,2015,24892.24
93,2000,11479.83
93,2001,10824.49
93,2002,10729.06
93,2003,11513.19
93,2004,9751.51
93,2005,7018.27
93,2006,6941.1
93,2007,5518.66
93,2008,8736.92
93,2009,9688.13
93,2010,12307.81
93,2011,13304.42
93,2012,16595.06
93,2013,19895.23
93,2014,36486.82
93,2015,54598.78
94,2000,4134.66
94,2001,3990.98
94,2002,3930.62
94,2003,3567.39
94,2004,3221.54
94,2005,2871.12
94,2006,3466.33
94,2007,4661.84
94,2008,6020.9
94,2009,8343.18
94,2010,9116.2
94,2011,9021.87
94,2012,10001.67
94,2013,14009.01
94,2014,25742.73
94,2015,33129.72
95,2000,5215.02
95,2001,5724.75
95,2002,5274.6
95,2003,5291.84
95,2004,4149.25
95,2005,4459.7
95,2006,4146.52
95,2007,3675
95,2008,4297.61
95,2009,4427.53
95,2010,5601.83
95,2011,5758.29
95,2012,7123.97
95,2013,9835.04
95,2014,12585.69
95,2015,19471.1
96,2000,3219.71
96,2001,3645.52
96,2002,4046.05
96,2003,2525.58
96,2004,3304.48
96,2005,2596.01
96,2006,4773.25
96,2007,5686.15
96,2008,10593.73
96,2009,12361.24
96,2010,13239.98
96,2011,14728.97
96,2012,14616.72
96,2013,14530.86
96,2014,41140.2
96,2015,55823.68
98,2011,23.12
98,2012,1730.47
98,2013,2530.11
98,2014,2330.52
98,2015,412.35
100,2009,721
100,2011,418.63
100,2012,3695.08
100,2013,3680.77
100,2014,5229.16
100,2015,8462.05
101,2000,4276.87
101,2001,4147.13
101,2002,3781
101,2003,3975.3
101,2004,4160.96
101,2005,5765.86
101,2006,6442.08
101,2007,7961.67
101,2008,6327.79
101,2009,6472.16
101,2010,8165.49
101,2011,8422.24
101,2012,11475.73
101,2013,12712.94
101,2014,32203.47
101,2015,45855.41
102,2000,13121.6
102,2001,12154.05
102,2002,11479.43
102,2003,11187.83
102,2004,6053.37
102,2005,4857.5
102,2006,5368.07
102,2007,4858.81
102,2008,5081.16
102,2009,6015.85
102,2010,6015.88
102,2011,6123.85
102,2012,7818.18
102,2013,9499.01
102,2014,13331.81
102,2015,22692.12
103,2000,1951.04
103,2001,2491.34
103,2002,1861.03
103,2003,2318.65
103,2004,816
103,2005,783.7
103,2006,853.46
103,2007,1645.75
103,2008,4018.62
103,2009,2945.85
103,2010,3312.81
103,2011,4087.72
103,2012,6816.96
103,2013,8383.79
103,2014,15320.06
103,2015,22485.85
104,2000,14015.69
104,2001,12966.66
104,2002,13128.63
104,2003,12851.37
104,2004,10371.44
104,2005,9234.85
104,2006,10187.42
104,2007,10110.23
104,2008,9529.09
104,2009,9254.4
104,2010,11315.15
104,2011,15403.02
104,2012,14082.83
104,2013,18707.2
104,2014,27173.31
104,2015,31921.97
105,2000,3703.73
105,2001,3200.78
105,2002,3401.62
105,2003,3924.7
105,2004,3723.34
105,2005,3388.44
105,2006,3011.32
105,2007,3999.11
105,2008,4143.79
105,2009,4072.47
105,2010,5374.08
105,2011,4997.02
105,2012,5515.74
105,2013,5550.91
105,2014,19427.58
105,2015,33061
106,2000,3765.16
106,2001,3738.3
106,2002,3619.75
106,2003,5474.25
106,2004,4828.58
106,2005,4587.8
106,2006,3147.76
106,2007,3808.38
106,2008,6787.8
106,2009,6060.96
106,2010,5826.94
106,2011,6151.14
106,2012,6263.64
106,2013,6345.08
106,2014,14730.15
106,2015,19152.06
107,2000,3007.78
107,2001,2162.85
107,2002,2035.71
107,2003,3574.27
107,2004,3711.74
107,2005,3994.22
107,2006,4749.23
107,2007,9239.47
107,2008,7750.9
107,2009,14466.68
107,2010,12826.1
107,2011,13172.13
107,2012,13188.87
107,2013,16338.55
107,2014,36085.2
107,2015,41238.22
108,2000,11865.2
108,2001,10811.35
108,2002,10302.99
108,2003,8370.96
108,2004,10899.62
108,2005,10351.11
108,2006,9686.98
108,2007,12973.09
108,2008,15801.7
108,2009,26269.56
108,2010,27430.01
108,2011,39174.57
108,2012,42551.72
108,2013,39015.57
108,2014,43267.79
108,2015,53978.14
109,2000,1573.72
109,2001,2073.55
109,2002,2859.46
109,2003,3554.72
109,2004,3224.9
109,2005,6846.14
109,2006,2290.21
109,2007,5872.8
109,2008,6126.74
109,2009,7650.18
109,2010,8173.97
109,2011,6620.23
109,2012,9292.75
109,2013,10985.78
109,2014,18552.17
109,2015,24545.09
110,2000,16870.97
110,2001,16016.37
110,2002,17542.67
110,2003,18103.12
110,2004,18251.27
110,2005,18630.98
110,2006,18262.81
110,2007,20366.58
110,2008,19363.34
110,2009,20559.42
110,2010,22128.97
110,2011,23212.55
110,2012,26322.65
110,2013,27447
110,2014,52594.31
110,2015,62686.6
111,2000,16505.86
111,2001,15820.87
111,2002,16917.86
111,2003,15567.99
111,2004,12176.52
111,2005,13709.96
111,2006,16475.81
111,2007,16186.47
111,2008,20954.06
111,2009,19325.99
111,2010,19757.54
111,2011,23504.87
111,2012,22101.48
111,2013,26779.63
111,2014,41399.78
111,2015,54563.89
112,2000,1282.5
112,2001,1310.42
112,2002,1245.13
112,2003,1453.47
112,2004,2302.53
112,2005,1804.71
112,2006,2661.25
112,2007,3345.87
112,2008,4997.15
112,2009,4712.38
112,2010,5488.42
112,2011,5383.34
112,2012,5994.27
112,2013,10913.49
112,2014,19147.62
112,2015,32710.95
113,2000,6815.45
113,2001,6641.55
113,2002,5558.73
113,2003,5704.34
113,2004,5622.45
113,2005,4620.64
113,2006,5461.24
113,2007,7137.57
113,2008,8303.83
113,2009,6738.25
113,2010,7629.79
113,2011,9459.81
113,2012,9028.26
113,2013,9228.83
113,2014,26037.25
113,2015,29705.24
114,2000,1846.9
114,2001,1974.07
114,2002,1404.31
114,2003,1352.62
114,2004,916.48
114,2005,2266.88
114,2006,3384.54
114,2007,5020.86
114,2008,7081.63
114,2009,6473.57
114,2010,8061.88
114,2011,12766.42
114,2012,10022.24
114,2013,14599.38
114,2014,26599.49
114,2015,40347.01
115,2006,721
115,2010,166.27
115,2011,518.66
115,2012,559.44
115,2013,2344.97
115,2014,637.23
115,2015,1767.12
117,2012,1782.35
117,2013,3845.53
117,2014,12756.69
117,2015,10867.35
118,2000,2522.01
118,2001,2432.06
118,2002,2199.43
118,2003,3000.28
118,2004,3142.98
118,2005,3011.85
118,2006,2880.71
118,2007,2749.58
118,2008,3312.44
118,2009,4103.27
118,2010,5668.54
118,2011,8649.37
118,2012,13640.88
118,2013,17847.24
118,2014,25137.65
118,2015,29337.23
119,2000,765.58
119,2001,739.76
119,2002,713.91
119,2003,688.08
119,2004,685.88
119,2005,734.24
119,2006,861.79
119,2007,452.27
119,2008,12110.24
119,2009,7246.48
119,2010,14620.02
119,2011,12258.89
119,2012,16968.13
119,2013,17662.29
119,2014,37270.75
119,2015,42525.73
122,2012,314.11
122,2015,1349.25
127,2015,294.94
129,2007,634.08
129,2008,1005.44
129,2009,317.55
129,2010,1285
129,2011,1274.2
129,2012,1693.6
129,2013,2603.68
129,2014,7635.64
129,2015,7104.04
130,2005,668.36
130,2006,1407.67
130,2007,2810.35
130,2008,3301.21
130,2009,1999.57
130,2010,2822.55
130,2011,3298.23
130,2012,4556.42
130,2013,8285.65
130,2014,5802.89
130,2015,2907.67
131,2015,252.85
132,2001,313.26
132,2002,41.64
132,2003,40.04
132,2004,38.42
132,2005,36.8
132,2006,35.19
132,2007,2083.37
132,2008,464.97
132,2009,764.59
132,2010,862.36
132,2011,1460.88
132,2012,1428.02
132,2013,1387.15
132,2014,3401.12
132,2015,3176.23
133,2003,764
133,2005,70
133,2008,1754.68
133,2009,8205.16
133,2010,7769.98
133,2012,7871.76
133,2013,7753.52
133,2014,12799.97
133,2015,13039.25
134,2013,798.19
134,2014,1772.72
134,2015,14487.38
135,2014,3041.6
135,2015,2311.95
136,2012,300
137,2000,2519.24
137,2001,3731.04
137,2002,3306.74
137,2003,3159.21
137,2004,14595.77
137,2005,12132.73
137,2006,13156.23
137,2007,19336.36
137,2008,19415
137,2009,16188.22
137,2010,16563.27
137,2011,17377.3
137,2012,19842.86
137,2013,20613.24
137,2014,31534.96
137,2015,28535.28
138,2000,3821.39
138,2001,4985.95
138,2002,5214.06
138,2003,4977.5
138,2004,4368.82
138,2005,4167.52
138,2006,4052.14
138,2007,6769.67
138,2008,8529.74
138,2009,8880.82
138,2010,8710.11
138,2011,6589.33
138,2012,9547.11
138,2013,8367.32
138,2014,11544.21
138,2015,13009.23
139,2007,76.54
139,2011,482.02
139,2012,1181.3
139,2013,4931.39
139,2014,3207.86
139,2015,3544.41
140,2000,235.15
140,2001,466.34
140,2002,553.1
140,2003,887.38
140,2004,910.98
140,2005,579.25
140,2006,687.02
140,2007,1100.55
140,2008,1235.97
140,2009,2658.62
140,2010,3060.85
140,2011,3482.63
140,2012,3789.93
140,2013,3854.69
140,2014,14163.97
140,2015,17516.42
141,2008,1436.5
141,2009,1299.87
141,2010,6478.52
141,2011,6719.13
141,2012,6563.34
141,2013,6066.01
141,2014,32565.34
141,2015,31123.55
142,2014,2000.11
142,2015,666.14
143,2009,655.48
143,2010,870
143,2011,950.22
143,2012,930.1
143,2013,905.22
143,2014,1675.06
143,2015,1920.41
144,2000,235.78
144,2001,228.99
144,2002,222.21
144,2003,258.13
144,2004,243.78
144,2005,222.76
144,2006,214.43
144,2007,188.31
144,2008,472.83
144,2009,1103.42
144,2010,1054.72
144,2011,2218.71
144,2012,3010.55
144,2013,3194.63
144,2014,11546.62
144,2015,34355.37
145,2000,765.66
145,2001,783.08
145,2002,1280.65
145,2003,984.52
145,2004,946.74
145,2005,908.95
145,2006,871.16
145,2007,833.36
145,2008,879.94
145,2009,925.96
145,2010,1417.48
145,2011,1332.6
145,2012,1500.36
145,2013,1669.45
145,2014,3337.11
145,2015,4439.64
146,2009,743.13
146,2010,3806.25
146,2011,5432.91
146,2012,6878.81
146,2013,4747.4
146,2014,6824.5
146,2015,6360.18
147,2004,296.08
147,2005,255.87
147,2008,258.46
147,2009,382.47
147,2010,361.22
147,2011,989.72
147,2012,323.47
147,2013,333.85
147,2014,1666.55
147,2015,117367.81
148,2000,2735.03
148,2001,2773.42
148,2002,2373.9
148,2003,2646.02
148,2004,2241.65
148,2005,2351.08
148,2006,2260.86
148,2007,7220.62
148,2008,7410.11
148,2009,6405.31
148,2010,6640.76
148,2011,6578.33
148,2012,6353.37
148,2013,8150.49
148,2014,8926.67
148,2015,22883.93
149,2000,4833.6
149,2001,5608.21
149,2002,4985.17
149,2003,5630.58
149,2004,6236.69
149,2005,6099.15
149,2006,5855.29
149,2007,7829.63
149,2008,7820.05
149,2009,9539.58
149,2010,11342.48
149,2011,11598.21
149,2012,10982.05
149,2013,11337.08
149,2014,22948.39
149,2015,31007.28
151,2000,6968.25
151,2001,13878.82
151,2002,11756.41
