"","InvestorDelinquentTaxTotal","PctUnderPoverty","MedianHouseholdIncome","TotalVacancyRate","MedianRent","RentAsPctOfIncome"
"42101020101",21840.37,42,18994,"29.8","692","87"
"42101020102",22034.41,28.1,30769,"27.4","787","89"
"42101020200",46033.9,34.1,21080,"18.2","507","286"
"42101020300",34374.22,27.4,26250,"28.9","693","85"
"42101020400",19126.12,24.7,31782,"19.6","695","54"
"42101020500",10537.81,31.3,20703,"13.3","703","160"
"42101020700",6718.78,8.5,73069,"11.1","1276","11"
"42101020900",3715.93,14.2,61667,"14.6","996","25"
"42101021000",1059.42,19.2,53295,"13.2","1135","59"
"42101021100",7044.18,8.5,59531,"10.0","1145","0"
"42101021300",3142.76,12.9,54125,"9.7","1120","11"
"42101021400",37430.63,11.1,54868,"16.2","1329","54"
"42101021500",10278.52,11.8,58375,"10.9","1456","17"
"42101021600",2711.21,9.5,29884,"6.8","1121","11"
"42101021800",3460.81,10.7,47483,"12.1","1199","60"
"42101023500",925.57,4.8,53333,"1.9","890","9"
"42101023700",11951.63,15.6,38261,"11.1","846","131"
"42101023800",3770.72,10.4,36648,"19.9","881","23"
"42101023900",3196.25,21.6,30703,"25.6","736","55"
"42101024000",5677.13,28,30717,"24.8","947","82"
"42101024200",18898.5,32.6,27250,"24.8","675","82"
"42101024300",19640.9,23.3,36494,"16.9","910","108"
"42101024400",12223.01,18.5,34023,"22.9","760","70"
"42101024500",46241.96,38.5,23269,"21.6","713","101"
"42101024600",22848.45,51.2,18216,"26.1","694","43"
"42101024700",27724.21,26.6,25513,"21.2","813","85"
"42101024800",7242.53,35.5,32378,"13.7","957","31"
"42101024900",15424.86,29.9,29432,"25.7","849","126"
"42101025200",15953.91,23,37465,"20.7","827","169"
"42101025300",8034.14,22.8,30900,"24.6","948","33"
"42101025400",1896.58,9.9,55972,"7.8","860","24"
"42101025800",964.07,6.6,48098,"10.8","1008","12"
"42101025900",2897.1,9.8,44719,"11.7","872","62"
"42101026000",882.28,8.1,44659,"4.6","973","66"
"42101026100",1351.34,7.6,54533,"9.8","885","10"
"42101026301",1869.03,8.4,47471,"3.2","1171","24"
"42101026302",571.73,11.1,42684,"10.4","883","120"
"42101026400",4585,16.2,34316,"8.2","1023","0"
"42101026500",9382.78,10.8,36942,"16.6","1050","9"
"42101026600",8868.16,10.7,43234,"15.1","877","36"
"42101026700",9640.9,12.9,37654,"12.6","1034","140"
"42101026800",3018.25,17.2,33669,"9.3","866","23"
"42101027100",2209.78,10.1,48173,"4.4","798","54"
"42101027200",2147.59,5.4,45900,"3.9","1030","60"
"42101027300",10411.68,19.3,40767,"8.0","803","0"
"42101027401",2058.8,43.9,21364,"16.9","930","27"
"42101027402",11655.33,29.4,33289,"10.9","914","98"
"42101027500",2814.26,18.8,39032,"7.8","946","29"
"42101027600",9664.66,26.4,30078,"16.6","792","23"
"42101027700",12607.35,22,22757,"17.1","475","18"
"42101027800",10422.62,25.1,30625,"11.0","773","38"
"42101027901",16907.38,22.9,29968,"19.4","800","39"
"42101027902",3327.85,40.1,25038,"12.3","922","29"
"42101028000",32076.2,34.9,25476,"11.8","672","23"
"42101028100",9010.26,27.2,33699,"7.0","748","115"
"42101028200",10676.32,21,33227,"5.7","876","93"
"42101028300",26477.44,33.7,25959,"17.6","741","156"
"42101028400",14511.62,32.7,27955,"11.0","1007","13"
"42101028500",3482.65,31.9,29115,"14.7","884","0"
"42101028600",16208.03,43.6,22902,"11.5","986","139"
"42101028700",4719.67,48,25019,"10.9","777","63"
"42101028800",18849.72,36.6,23322,"18.5","844","40"
"42101028901",4508.75,38.5,37401,"5.9","1074","0"
"42101028902",22375.8,36.6,30847,"8.7","940","104"
"42101029000",3306.57,25.7,26750,"6.2","798","7"
"42101029100",11110.57,27.4,25026,"9.4","904","165"
"42101029200",5898.38,19.8,30264,"18.6","949","40"
"42101029300",26001.04,43.1,21444,"26.7","929","38"
"42101029400",27433.6,46.7,23686,"19.4","838","80"
"42101029800",7713.73,32.5,30639,"6.7","944","46"
"42101029900",18142.39,45.8,24926,"15.5","704","25"
"42101030000",29661.4,37.4,24448,"16.2","807","71"
"42101030100",24289.08,19.9,36270,"23.6","787","15"
"42101030200",9354.82,17.9,35046,"17.5","962","56"
"42101030501",1522.65,21,33723,"2.9","909","23"
"42101030502",307.59,5.3,51047,"7.6","1032","27"
"42101030600",2915.07,11.1,37984,"2.8","859","30"
"42101031101",822.93,29.5,34190,"7.5","1100","96"
"42101031200",4564.82,19.3,40403,"10.6","941","54"
"42101031300",3280.8,30.4,30379,"12.3","1047","114"
"42101031402",2541.67,25.1,46700,"7.9","1147","69"
"42101031502",395.94,10.5,48920,"14.7","976","19"
"42101031600",1929.28,16.8,43301,"3.1","1141","44"
"42101031700",3769.39,13.3,38418,"8.0","1100","61"
"42101031800",1942.46,14.6,38490,"6.7","1034","19"
"42101031900",2946.79,21.7,41906,"14.8","827","77"
"42101032100",378.58,19.1,34556,"13.1","937","18"
"42101032300",6415.84,13.5,35518,"13.1","916","40"
"42101032500",11769.77,21.1,36696,"14.2","733","76"
"42101032600",2196.54,16.7,37057,"17.2","980","64"
